frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
156,1,683.0 429.0 888.0 602.0,754.0 533.0 830.0 565.0,0.637845516204834,APO3 JEOL,0.05607156445658153
157,1,684.0 432.0 888.0 604.0,758.0 536.0 833.0 568.0,0.5982660055160522,LOS JEO,0.05970795034797847
158,1,683.0 433.0 888.0 606.0,755.0 537.0 835.0 569.0,0.5902400016784668,AP@BNAO,0.0006005677775455552
159,1,683.0 435.0 888.0 608.0,757.0 541.0 832.0 574.0,0.5439664125442505,APO5 JEO,0.20103171812033543
160,1,683.0 436.0 889.0 610.0,759.0 544.0 830.0 574.0,0.55219566822052,APOS UEQE,0.12992723525952588
161,1,684.0 437.0 890.0 612.0,760.0 543.0 832.0 575.0,0.6158674955368042,LPOS JE0,0.299877678322677
162,1,685.0 439.0 892.0 614.0,754.0 548.0 833.0 577.0,0.5935050845146179,APOS VEQE,0.10523710734382836
163,1,685.0 441.0 892.0 617.0,757.0 549.0 827.0 579.0,0.6241992115974426,LPO5 JEOL,0.06388221930706323
164,1,685.0 442.0 893.0 619.0,755.0 550.0 828.0 580.0,0.6385731101036072,APOS VEQ,0.07883361289757432
165,1,684.0 443.0 894.0 621.0,757.0 551.0 834.0 582.0,0.6140601634979248,LROS JED,0.12198700406656698
166,1,685.0 444.0 897.0 625.0,755.0 557.0 832.0 588.0,0.4539041519165039,APO5 JEO],0.15384054216954987
167,1,685.0 446.0 896.0 627.0,758.0 557.0 833.0 590.0,0.5023111701011658,APOS JEO,0.06954621104180644
168,1,685.0 448.0 896.0 630.0,760.0 561.0 835.0 590.0,0.5142174959182739,AP05 JEQI,0.034403046047655865
169,1,687.0 450.0 897.0 630.0,761.0 562.0 836.0 594.0,0.6215347051620483,4P05 JIQI,0.007307136927513773
170,1,688.0 450.0 899.0 632.0,752.0 564.0 834.0 595.0,0.5929549932479858,POS JEO,0.19110165534201176
171,1,689.0 453.0 899.0 634.0,755.0 565.0 833.0 596.0,0.6217939257621765,LROSLJED,0.05758873286199515
172,1,689.0 456.0 899.0 637.0,760.0 567.0 839.0 598.0,0.6347357034683228,LPO5 JEO,0.11927154334323162
173,1,688.0 457.0 899.0 639.0,761.0 568.0 841.0 599.0,0.6003596186637878,AP05 VE0,0.07015013095484415
174,1,690.0 458.0 902.0 641.0,766.0 572.0 842.0 603.0,0.5701984763145447,4P0SJAQ,0.029237560920314896
175,1,692.0 461.0 903.0 643.0,767.0 574.0 842.0 606.0,0.5471107363700867,LPOS JED,0.1990806037597481
176,1,693.0 464.0 903.0 645.0,768.0 574.0 841.0 606.0,0.5831050276756287,LROS JED,0.03987274825028217
177,1,693.0 466.0 903.0 647.0,761.0 580.0 836.0 613.0,0.5567792654037476,LRO5 JEO,0.23441638188883868
178,1,693.0 468.0 906.0 651.0,768.0 582.0 840.0 612.0,0.6155486106872559,AROS VEO,0.050519293150621605
179,1,694.0 470.0 907.0 653.0,767.0 583.0 841.0 613.0,0.6163892149925232,AROS JEO,0.16842867049532087
180,1,695.0 471.0 909.0 655.0,772.0 586.0 846.0 616.0,0.6086905598640442,LROS JEO,0.23622021902792348
181,1,695.0 473.0 911.0 659.0,767.0 589.0 846.0 622.0,0.4926939308643341,AR05 JEO,0.21266907493300496
182,1,695.0 474.0 912.0 661.0,776.0 590.0 847.0 621.0,0.5646216869354248,AROS JEQ,0.19061458665088576
183,1,696.0 475.0 913.0 663.0,774.0 593.0 847.0 625.0,0.631616473197937,APOS JEO,0.13969131306272803
184,1,696.0 477.0 914.0 665.0,770.0 598.0 847.0 628.0,0.5996962785720825,APOS JEOM,0.229409732005733
185,1,697.0 479.0 915.0 667.0,772.0 597.0 846.0 627.0,0.6145623922348022,APOS JEO ,0.1907289618088007
186,1,698.0 481.0 917.0 669.0,774.0 599.0 849.0 630.0,0.6452767252922058,APOS JEO|,0.18687035874222477
187,1,699.0 483.0 919.0 673.0,775.0 602.0 849.0 635.0,0.5260056257247925,LROS JEQ ,0.06958599430920777
188,1,698.0 485.0 920.0 675.0,775.0 604.0 850.0 635.0,0.5185133218765259,2OS VEO,0.1161762257468583
189,1,699.0 488.0 921.0 678.0,775.0 605.0 848.0 640.0,0.5998795032501221,LRO5 JEO,0.14612937761816142
190,1,699.0 491.0 921.0 681.0,776.0 610.0 849.0 641.0,0.6259167790412903,APOS ED,0.17104697589336446
191,1,699.0 492.0 922.0 683.0,775.0 613.0 849.0 643.0,0.6000257134437561,APOS JEQ,0.34675133777471095
192,1,698.0 495.0 922.0 686.0,775.0 615.0 849.0 646.0,0.63737952709198,APOS JEOE,0.1457760496799585
193,1,699.0 499.0 924.0 690.0,774.0 617.0 857.0 650.0,0.6550732254981995,APOS JEQ,0.31441850057561904
194,1,699.0 500.0 926.0 692.0,777.0 620.0 857.0 652.0,0.5656549334526062,APOS JEOI,0.037253430724601605
195,1,698.0 501.0 927.0 695.0,778.0 621.0 856.0 657.0,0.63428795337677,APOS JEO ,0.16442845690555977
196,1,698.0 503.0 927.0 697.0,781.0 625.0 857.0 658.0,0.6587942838668823,POS JEQ,0.2653438921568489
197,1,698.0 505.0 927.0 698.0,780.0 627.0 858.0 659.0,0.6367906928062439,APOS JEO,0.13520009484650009
198,1,698.0 506.0 929.0 701.0,782.0 628.0 859.0 661.0,0.6598577499389648,APOS JEQ ,0.08125758227661396
199,1,699.0 508.0 932.0 703.0,786.0 633.0 860.0 664.0,0.6099379658699036,APOS JEQ,0.3408366106155079
200,1,699.0 509.0 933.0 706.0,785.0 634.0 862.0 666.0,0.6373406648635864,APOS JEO,0.28748307276766444
201,1,701.0 512.0 936.0 708.0,786.0 637.0 862.0 669.0,0.6138580441474915,LPOS JEO,0.3614294804074912
202,1,702.0 515.0 938.0 711.0,784.0 641.0 862.0 673.0,0.6456867456436157,APOS JEQ ,0.08186594445861531
203,1,703.0 517.0 939.0 712.0,782.0 643.0 864.0 675.0,0.6205807328224182,APOS JEOI,0.16893020926630684
204,1,704.0 520.0 938.0 714.0,787.0 646.0 864.0 678.0,0.6595544815063477,APOS JEQ,0.20274496212872467
205,1,704.0 522.0 939.0 715.0,788.0 650.0 867.0 682.0,0.6189978122711182,LAPOS JEO,0.1326634263711909
206,1,706.0 523.0 941.0 715.0,789.0 650.0 871.0 683.0,0.6197463870048523,IAPOS JEO,0.19483779595961392
207,1,707.0 527.0 940.0 716.0,790.0 654.0 869.0 688.0,0.6268086433410645,KAPO5 JEO,0.20388465978633286
208,1,708.0 529.0 941.0 716.0,788.0 658.0 867.0 692.0,0.6647326350212097,LPOS ED,0.3509925774831742
209,1,709.0 532.0 940.0 715.0,788.0 658.0 869.0 692.0,0.6632182002067566,APOS EDI,0.1605593035243803
210,1,711.0 534.0 941.0 714.0,789.0 662.0 871.0 695.0,0.6667894721031189,APOS JEO,0.2481651174196481
211,1,715.0 538.0 940.0 713.0,790.0 666.0 874.0 698.0,0.5781720280647278,APOS JEO,0.40217116489881066
212,1,715.0 540.0 940.0 712.0,787.0 668.0 872.0 705.0,0.5206852555274963,APOS JEQ,0.1769680521951107
213,1,712.0 540.0 942.0 715.0,794.0 671.0 876.0 703.0,0.6546068787574768,CPOS JEO,0.07449367939064377
214,1,714.0 543.0 943.0 715.0,792.0 676.0 877.0 707.0,0.6123613119125366,APOS JEO,0.4678606057908178
215,1,714.0 545.0 944.0 716.0,789.0 677.0 877.0 709.0,0.6215288639068604,APOS JEQI,0.15143247950363903
216,1,714.0 547.0 942.0 716.0,800.0 679.0 882.0 711.0,0.626418948173523,LAPOS JEO,0.209763048306481
1,3,250.0 456.0 475.0 660.0,319.0 587.0 399.0 619.0,0.6510344743728638,LAIHAU,0.14459854241970863
2,3,250.0 456.0 475.0 661.0,316.0 587.0 399.0 623.0,0.6486467123031616,HAIJ HRU,0.11380979855498354
3,3,249.0 458.0 476.0 665.0,310.0 590.0 397.0 626.0,0.6460747122764587,WAIZWRU,0.04093109450067214
4,3,247.0 461.0 475.0 669.0,314.0 593.0 391.0 628.0,0.5984748601913452,KAIJ MRU,0.06903320933826769
5,3,243.0 461.0 475.0 672.0,312.0 594.0 391.0 628.0,0.6373222470283508,KAIZ HRU,0.10796347662945635
6,3,244.0 464.0 476.0 675.0,317.0 599.0 394.0 629.0,0.577745258808136,KAIJ MRU,0.12391087325889276
7,3,242.0 465.0 475.0 678.0,313.0 603.0 393.0 634.0,0.5979757905006409,KAIHAU,0.16537101463602266
8,3,239.0 467.0 474.0 681.0,309.0 604.0 393.0 636.0,0.5745663046836853,4AIJ MRU,0.11955292692080781
9,3,239.0 470.0 473.0 684.0,308.0 608.0 391.0 640.0,0.6052519083023071,HAU,0.1496092014936298
10,3,235.0 472.0 471.0 687.0,306.0 610.0 390.0 643.0,0.5727593302726746,NAI HAU,0.15253841099464213
11,3,233.0 473.0 470.0 690.0,302.0 611.0 389.0 643.0,0.4901978075504303,NRU ,0.1948828101158142
12,3,232.0 475.0 470.0 692.0,303.0 615.0 387.0 645.0,0.5044054985046387,KAIZ HRU,0.16760387156555892
13,3,231.0 479.0 468.0 696.0,306.0 620.0 388.0 652.0,0.5816752314567566,IJMRU,0.8614131616364175
14,3,230.0 479.0 469.0 698.0,296.0 620.0 386.0 656.0,0.5612521171569824,KAI NRU,0.15631565027865582
15,3,230.0 482.0 467.0 700.0,299.0 623.0 386.0 658.0,0.560617208480835,KAIZ HRU,0.1981897309959737
16,3,229.0 486.0 465.0 702.0,301.0 626.0 384.0 659.0,0.5611343383789062,AHAJ MRU,0.06369608550975364
17,3,228.0 488.0 465.0 704.0,289.0 627.0 384.0 660.0,0.4679802656173706,HAI2 MRU,0.29481196599506887
18,3,227.0 490.0 464.0 706.0,296.0 631.0 386.0 663.0,0.4210919141769409,K4IJ MRU,0.08616153237406023
19,3,226.0 494.0 462.0 709.0,296.0 635.0 382.0 668.0,0.6060372591018677,HIZ MRU,0.21793741252059595
20,3,226.0 497.0 461.0 711.0,291.0 636.0 381.0 669.0,0.5742729306221008,HAI? HRU,0.12777872014862016
21,3,225.0 499.0 461.0 713.0,291.0 639.0 379.0 673.0,0.6337838172912598,HAID MRU,0.11471808707712938
22,3,223.0 501.0 458.0 713.0,284.0 642.0 377.0 677.0,0.6123737096786499,WAID MRU,0.12265971513305986
23,3,223.0 504.0 456.0 714.0,283.0 642.0 376.0 679.0,0.5583488345146179,WAIDMRU,0.16034784416389367
24,3,222.0 506.0 455.0 714.0,293.0 650.0 381.0 682.0,0.6290239691734314,HAIJ MRU,0.15408487726610057
25,3,222.0 508.0 454.0 714.0,284.0 653.0 380.0 689.0,0.6276513934135437,WAIZ HRU,0.2155431146096095
26,3,222.0 509.0 454.0 715.0,285.0 654.0 379.0 690.0,0.6359875798225403,MAIJ HRU,0.07294093951222437
27,3,222.0 512.0 452.0 715.0,288.0 655.0 383.0 693.0,0.6273502111434937,HADNRU,0.12726891743178487
28,3,222.0 515.0 450.0 715.0,292.0 660.0 377.0 693.0,0.5945265293121338,HMAIJ NRU,0.04513382308296304
29,3,222.0 517.0 450.0 715.0,292.0 661.0 378.0 695.0,0.5547646284103394,LHAIJ MRU,0.08981980496477958
30,3,221.0 520.0 448.0 715.0,281.0 666.0 375.0 701.0,0.6156216859817505,HAIJ HRU,0.3231988847439657
31,3,220.0 522.0 447.0 715.0,285.0 672.0 374.0 706.0,0.626653790473938,LWAIDHRU,0.02090156938927405
32,3,221.0 524.0 447.0 715.0,283.0 674.0 376.0 709.0,0.6601109504699707,MAID NRU,0.1794531704039195
33,3,221.0 528.0 445.0 715.0,288.0 674.0 375.0 710.0,0.6346256136894226,WAIDMRU,0.04588770174793822
2,5,730.0 385.0 929.0 579.0,804.0 517.0 857.0 545.0,0.6280452609062195,HILIU,0.10404598092659606
3,5,730.0 388.0 929.0 583.0,804.0 519.0 858.0 548.0,0.6093692779541016,MHLU,0.26582571864128113
4,5,729.0 389.0 929.5 585.0,804.0 520.5 859.5 550.0,0,0,0
5,5,728.0 390.0 930.0 587.0,804.0 522.0 861.0 552.0,0.6025492548942566,MLLU,0.1800859570503235
6,5,728.0 391.0 930.0 589.0,806.0 525.0 864.0 554.0,0.6016526222229004,MELIU,0.15111589526566574
7,5,729.0 389.0 934.0 590.0,806.0 527.0 863.0 556.0,0.6452744603157043,HAI,0.12430942687346161
